Directive,File,Line Number,Description
"#define BLYNK_INFO_DEVICE  ""Teensy 3.6""",src/Blynk/BlynkDetectDevice.h,190,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,191,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,192,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(__MK64FX512__),src/Blynk/BlynkDetectDevice.h,193,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Teensy 3.5""",src/Blynk/BlynkDetectDevice.h,194,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,195,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,196,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(__MK20DX256__),src/Blynk/BlynkDetectDevice.h,197,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Teensy 3.2/3.1""",src/Blynk/BlynkDetectDevice.h,198,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,199,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,200,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif   defined(__MK20DX128__),src/Blynk/BlynkDetectDevice.h,201,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Teensy 3.0""",src/Blynk/BlynkDetectDevice.h,202,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,203,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,204,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif   defined(__MKL26Z64__),src/Blynk/BlynkDetectDevice.h,205,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Teensy LC""",src/Blynk/BlynkDetectDevice.h,206,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_BUFFERS_SIZE 512,src/Blynk/BlynkDetectDevice.h,207,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif   defined(ARDUINO_ARCH_AVR),src/Blynk/BlynkDetectDevice.h,208,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Teensy 2.0""",src/Blynk/BlynkDetectDevice.h,209,Defines a macro or constant (BLYNK_INFO_DEVICE)
#else,src/Blynk/BlynkDetectDevice.h,210,Else clause for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Teensy""",src/Blynk/BlynkDetectDevice.h,211,Defines a macro or constant (BLYNK_INFO_DEVICE)
#endif,src/Blynk/BlynkDetectDevice.h,212,Ends conditional compilation block
#elif defined(ARDUINO),src/Blynk/BlynkDetectDevice.h,214,Else-if for conditional compilation
#if defined(ARDUINO_ARCH_SAMD) || \,src/Blynk/BlynkDetectDevice.h,216,Conditional compilation - evaluates compile-time expression - defined(ARDUINO_ARCH_SAMD) || \
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,222,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,223,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#endif,src/Blynk/BlynkDetectDevice.h,224,Ends conditional compilation block
#if defined(ARDUINO_ARCH_AVR),src/Blynk/BlynkDetectDevice.h,226,Conditional compilation - evaluates compile-time expression - defined(ARDUINO_ARCH_AVR)
#define BLYNK_USE_INTERNAL_ATOLL,src/Blynk/BlynkDetectDevice.h,227,Defines a macro or constant (BLYNK_USE_INTERNAL_ATOLL)
#define BLYNK_MAX_TIMERS 8,src/Blynk/BlynkDetectDevice.h,228,Defines a macro or constant (BLYNK_MAX_TIMERS)
#endif,src/Blynk/BlynkDetectDevice.h,229,Ends conditional compilation block
#if defined(ARDUINO_ARCH_SAMD),src/Blynk/BlynkDetectDevice.h,231,Conditional compilation - evaluates compile-time expression - defined(ARDUINO_ARCH_SAMD)
#define BLYNK_USE_INTERNAL_DTOSTRF,src/Blynk/BlynkDetectDevice.h,232,Defines a macro or constant (BLYNK_USE_INTERNAL_DTOSTRF)
#endif,src/Blynk/BlynkDetectDevice.h,233,Ends conditional compilation block
#if   defined(ARDUINO_AVR_NANO),src/Blynk/BlynkDetectDevice.h,236,Conditional compilation - evaluates compile-time expression - defined(ARDUINO_AVR_NANO)
"#define BLYNK_INFO_DEVICE  ""Arduino Nano""",src/Blynk/BlynkDetectDevice.h,237,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_UNO) || defined(ARDUINO_AVR_DUEMILANOVE),src/Blynk/BlynkDetectDevice.h,238,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Uno""",src/Blynk/BlynkDetectDevice.h,239,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_YUN),src/Blynk/BlynkDetectDevice.h,240,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Yun""",src/Blynk/BlynkDetectDevice.h,241,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_MINI),src/Blynk/BlynkDetectDevice.h,242,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Mini""",src/Blynk/BlynkDetectDevice.h,243,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_ETHERNET),src/Blynk/BlynkDetectDevice.h,244,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Ethernet""",src/Blynk/BlynkDetectDevice.h,245,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_FIO),src/Blynk/BlynkDetectDevice.h,246,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Fio""",src/Blynk/BlynkDetectDevice.h,247,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_BT),src/Blynk/BlynkDetectDevice.h,248,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino BT""",src/Blynk/BlynkDetectDevice.h,249,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_PRO),src/Blynk/BlynkDetectDevice.h,250,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Pro""",src/Blynk/BlynkDetectDevice.h,251,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_NG),src/Blynk/BlynkDetectDevice.h,252,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino NG""",src/Blynk/BlynkDetectDevice.h,253,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_GEMMA),src/Blynk/BlynkDetectDevice.h,254,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Gemma""",src/Blynk/BlynkDetectDevice.h,255,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_MEGA) || defined(ARDUINO_AVR_MEGA2560),src/Blynk/BlynkDetectDevice.h,256,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Mega""",src/Blynk/BlynkDetectDevice.h,257,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,258,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,259,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_AVR_ADK),src/Blynk/BlynkDetectDevice.h,260,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Mega ADK""",src/Blynk/BlynkDetectDevice.h,261,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,262,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,263,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_AVR_LEONARDO),src/Blynk/BlynkDetectDevice.h,264,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Leonardo""",src/Blynk/BlynkDetectDevice.h,265,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_MICRO),src/Blynk/BlynkDetectDevice.h,266,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Micro""",src/Blynk/BlynkDetectDevice.h,267,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_ESPLORA),src/Blynk/BlynkDetectDevice.h,268,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Esplora""",src/Blynk/BlynkDetectDevice.h,269,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_LILYPAD),src/Blynk/BlynkDetectDevice.h,270,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Lilypad""",src/Blynk/BlynkDetectDevice.h,271,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_LILYPAD_USB),src/Blynk/BlynkDetectDevice.h,272,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Lilypad USB""",src/Blynk/BlynkDetectDevice.h,273,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_ROBOT_MOTOR),src/Blynk/BlynkDetectDevice.h,274,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Robot Motor""",src/Blynk/BlynkDetectDevice.h,275,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_ROBOT_CONTROL),src/Blynk/BlynkDetectDevice.h,276,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Robot Control""",src/Blynk/BlynkDetectDevice.h,277,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_UNO_WIFI_REV2),src/Blynk/BlynkDetectDevice.h,280,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino UNO WiFi Rev2""",src/Blynk/BlynkDetectDevice.h,281,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_INTERNAL_ATOLL,src/Blynk/BlynkDetectDevice.h,282,Defines a macro or constant (BLYNK_USE_INTERNAL_ATOLL)
#elif defined(ARDUINO_SAM_DUE),src/Blynk/BlynkDetectDevice.h,285,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Due""",src/Blynk/BlynkDetectDevice.h,286,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,287,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,288,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_SAMD_ZERO),src/Blynk/BlynkDetectDevice.h,291,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino Zero""",src/Blynk/BlynkDetectDevice.h,292,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKR1000),src/Blynk/BlynkDetectDevice.h,293,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR1000""",src/Blynk/BlynkDetectDevice.h,294,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRZERO),src/Blynk/BlynkDetectDevice.h,295,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKRZERO""",src/Blynk/BlynkDetectDevice.h,296,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRNB1500),src/Blynk/BlynkDetectDevice.h,297,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR NB 1500""",src/Blynk/BlynkDetectDevice.h,298,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRGSM1400),src/Blynk/BlynkDetectDevice.h,299,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR GSM 1400""",src/Blynk/BlynkDetectDevice.h,300,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRWAN1300),src/Blynk/BlynkDetectDevice.h,301,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR WAN 1300""",src/Blynk/BlynkDetectDevice.h,302,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRFox1200),src/Blynk/BlynkDetectDevice.h,303,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR FOX 1200""",src/Blynk/BlynkDetectDevice.h,304,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRWIFI1010),src/Blynk/BlynkDetectDevice.h,305,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR WiFi 1010""",src/Blynk/BlynkDetectDevice.h,306,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_MKRVIDOR4000),src/Blynk/BlynkDetectDevice.h,307,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""MKR Vidor 4000""",src/Blynk/BlynkDetectDevice.h,308,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_SAMD_NANO_33_IOT),src/Blynk/BlynkDetectDevice.h,309,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Nano 33 IoT""",src/Blynk/BlynkDetectDevice.h,310,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(TARGET_ARDUINO_NANO33BLE) || defined(ARDUINO_ARDUINO_NANO33BLE) || defined(ARDUINO_NANO33BLE),src/Blynk/BlynkDetectDevice.h,311,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Nano 33 BLE""",src/Blynk/BlynkDetectDevice.h,312,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_MINIMA),src/Blynk/BlynkDetectDevice.h,315,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""UNO R4 Minima""",src/Blynk/BlynkDetectDevice.h,316,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_UNOWIFIR4),src/Blynk/BlynkDetectDevice.h,317,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""UNO R4 WiFi""",src/Blynk/BlynkDetectDevice.h,318,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_PORTENTA_C33),src/Blynk/BlynkDetectDevice.h,319,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Portenta C33""",src/Blynk/BlynkDetectDevice.h,320,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_INTERNAL_DTOSTRF,src/Blynk/BlynkDetectDevice.h,321,Defines a macro or constant (BLYNK_USE_INTERNAL_DTOSTRF)
#elif defined(ARDUINO_RASPBERRY_PI_PICO_W),src/Blynk/BlynkDetectDevice.h,324,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""RPi Pico W""",src/Blynk/BlynkDetectDevice.h,325,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_RASPBERRY_PI_PICO),src/Blynk/BlynkDetectDevice.h,326,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""RPi Pico""",src/Blynk/BlynkDetectDevice.h,327,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ARCH_RP2040),src/Blynk/BlynkDetectDevice.h,328,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""RP2040""",src/Blynk/BlynkDetectDevice.h,329,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_GALILEO),src/Blynk/BlynkDetectDevice.h,332,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Galileo""",src/Blynk/BlynkDetectDevice.h,333,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,334,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 4096,src/Blynk/BlynkDetectDevice.h,335,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_GALILEOGEN2),src/Blynk/BlynkDetectDevice.h,336,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Galileo Gen2""",src/Blynk/BlynkDetectDevice.h,337,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_BUFFERS_SIZE 4096,src/Blynk/BlynkDetectDevice.h,338,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,339,Defines a macro or constant (BLYNK_USE_128_VPINS)
#elif defined(ARDUINO_EDISON),src/Blynk/BlynkDetectDevice.h,340,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Edison""",src/Blynk/BlynkDetectDevice.h,341,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,342,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 4096,src/Blynk/BlynkDetectDevice.h,343,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_ARCH_ARC32),src/Blynk/BlynkDetectDevice.h,344,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Arduino 101""",src/Blynk/BlynkDetectDevice.h,345,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,346,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,347,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_DASH),src/Blynk/BlynkDetectDevice.h,350,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Dash""",src/Blynk/BlynkDetectDevice.h,351,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_DASHPRO),src/Blynk/BlynkDetectDevice.h,352,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Dash Pro""",src/Blynk/BlynkDetectDevice.h,353,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_RedBear_Duo),src/Blynk/BlynkDetectDevice.h,356,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""RedBear Duo""",src/Blynk/BlynkDetectDevice.h,357,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,358,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,359,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_BLEND),src/Blynk/BlynkDetectDevice.h,360,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Blend""",src/Blynk/BlynkDetectDevice.h,361,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_BLEND_MICRO_8MHZ) || defined(ARDUINO_BLEND_MICRO_16MHZ),src/Blynk/BlynkDetectDevice.h,362,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Blend Micro""",src/Blynk/BlynkDetectDevice.h,363,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_RBL_nRF51822),src/Blynk/BlynkDetectDevice.h,364,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""BLE Nano""",src/Blynk/BlynkDetectDevice.h,365,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ESP8266_NODEMCU),src/Blynk/BlynkDetectDevice.h,368,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""NodeMCU""",src/Blynk/BlynkDetectDevice.h,369,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ARCH_ESP8266),src/Blynk/BlynkDetectDevice.h,370,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""ESP8266""",src/Blynk/BlynkDetectDevice.h,371,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ESP32C3_DEV) || defined(CONFIG_IDF_TARGET_ESP32C3),src/Blynk/BlynkDetectDevice.h,374,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""ESP32-C3""",src/Blynk/BlynkDetectDevice.h,375,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ESP32C6_DEV) || defined(CONFIG_IDF_TARGET_ESP32C6),src/Blynk/BlynkDetectDevice.h,376,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""ESP32-C6""",src/Blynk/BlynkDetectDevice.h,377,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ESP32S3_DEV) || defined(CONFIG_IDF_TARGET_ESP32S3),src/Blynk/BlynkDetectDevice.h,378,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""ESP32-S3""",src/Blynk/BlynkDetectDevice.h,379,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ESP32S2_DEV) || defined(CONFIG_IDF_TARGET_ESP32S2),src/Blynk/BlynkDetectDevice.h,380,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""ESP32-S2""",src/Blynk/BlynkDetectDevice.h,381,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ARCH_ESP32)  || defined(CONFIG_IDF_TARGET_ESP32),src/Blynk/BlynkDetectDevice.h,382,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""ESP32""",src/Blynk/BlynkDetectDevice.h,383,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_ARCH_STM32F1),src/Blynk/BlynkDetectDevice.h,386,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""STM32F1""",src/Blynk/BlynkDetectDevice.h,387,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_NO_YIELD,src/Blynk/BlynkDetectDevice.h,388,Defines a macro or constant (BLYNK_NO_YIELD)
#elif defined(ARDUINO_ARCH_STM32F3),src/Blynk/BlynkDetectDevice.h,389,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""STM32F3""",src/Blynk/BlynkDetectDevice.h,390,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_NO_YIELD,src/Blynk/BlynkDetectDevice.h,391,Defines a macro or constant (BLYNK_NO_YIELD)
#elif defined(ARDUINO_ARCH_STM32F4),src/Blynk/BlynkDetectDevice.h,392,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""STM32F4""",src/Blynk/BlynkDetectDevice.h,393,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,394,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,395,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#define BLYNK_NO_YIELD,src/Blynk/BlynkDetectDevice.h,396,Defines a macro or constant (BLYNK_NO_YIELD)
#elif defined(ARDUINO_ESP8266_OAK),src/Blynk/BlynkDetectDevice.h,399,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Oak""",src/Blynk/BlynkDetectDevice.h,400,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,401,Defines a macro or constant (BLYNK_USE_128_VPINS)
#elif defined(ARDUINO_AVR_DIGISPARK),src/Blynk/BlynkDetectDevice.h,402,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Digispark""",src/Blynk/BlynkDetectDevice.h,403,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_NO_YIELD,src/Blynk/BlynkDetectDevice.h,404,Defines a macro or constant (BLYNK_NO_YIELD)
#elif defined(ARDUINO_AVR_DIGISPARKPRO),src/Blynk/BlynkDetectDevice.h,405,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Digispark Pro""",src/Blynk/BlynkDetectDevice.h,406,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_NO_YIELD,src/Blynk/BlynkDetectDevice.h,407,Defines a macro or constant (BLYNK_NO_YIELD)
#elif defined(ARDUINO_AVR_USB),src/Blynk/BlynkDetectDevice.h,410,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""CoreUSB""",src/Blynk/BlynkDetectDevice.h,411,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_PLUS),src/Blynk/BlynkDetectDevice.h,412,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Core+""",src/Blynk/BlynkDetectDevice.h,413,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_AVR_RF),src/Blynk/BlynkDetectDevice.h,414,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""CoreRF""",src/Blynk/BlynkDetectDevice.h,415,Defines a macro or constant (BLYNK_INFO_DEVICE)
#elif defined(ARDUINO_WILDFIRE_V2),src/Blynk/BlynkDetectDevice.h,418,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Wildfire V2""",src/Blynk/BlynkDetectDevice.h,419,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,420,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,421,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_WILDFIRE_V3),src/Blynk/BlynkDetectDevice.h,422,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Wildfire V3""",src/Blynk/BlynkDetectDevice.h,423,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,424,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,425,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
#elif defined(ARDUINO_WILDFIRE_V4),src/Blynk/BlynkDetectDevice.h,426,Else-if for conditional compilation
"#define BLYNK_INFO_DEVICE  ""Wildfire V4""",src/Blynk/BlynkDetectDevice.h,427,Defines a macro or constant (BLYNK_INFO_DEVICE)
#define BLYNK_USE_128_VPINS,src/Blynk/BlynkDetectDevice.h,428,Defines a macro or constant (BLYNK_USE_128_VPINS)
#define BLYNK_BUFFERS_SIZE 1024,src/Blynk/BlynkDetectDevice.h,429,Defines a macro or constant (BLYNK_BUFFERS_SIZE)
